sheet,chain,co_owned,state,southj,centralj,northj,pa1,pa2,shore,ncalls,empft,emppt,nmgrs,wage_st,inctime,firstinc,bonus,pctaff,meals,open,hrsopen,psoda,pfry,pentree,nregs,nregs11,type2,status2,date2,ncalls2,empft2,emppt2,nmgrs2,wage_st2,inctime2,firstin2,special2,meals2,open2r,hrsopen2,psoda2,pfry2,pentree2,nregs2,nregs112,fte1,fte2,dfte
19,1,0,1,1,0,0,0,0,0,3,4,31,4,4.25,4,.25,0,50,2,6,16,1.05,.91000003,.93000001,3,3,1,1,110592,,6,44,5,5.0500002,52,.30000001,0,2,6,16,1.04,.93000001,.94999999,2,2,23.5,33,9.5
21,2,0,1,1,0,0,0,0,0,0,5,12,3,4.4499998,6,.1,0,90,2,10.5,10.5,1.0599999,.80000001,2.1300001,3,3,1,1,111492,1,0,11,2,5.0500002,,,0,2,11,10,.94,.94,2.4300001,3,3,14,7.5,-6.5
22,3,0,1,1,0,0,0,0,0,2,3,15,4,4.3499999,26,.12,0,90,2,7,16,1.0599999,.83999997,.94999999,4,1,1,1,110592,,3,15,2,5.0500002,19,.13,0,2,7,15,1.05,1.05,.94,4,4,14.5,12.5,-2
23,1,0,1,0,0,1,0,0,0,2,0,25,3,4.5,26,.12,0,75,2,7,16,1.0599999,.94999999,.94999999,3,2,1,1,111792,1,14,14,3,5.0500002,,,0,1,6.5,16.5,1.05,.94,.94,3,2,15.5,24,8.5
24,1,0,1,0,1,0,0,0,0,2,15,15,4,4.75,13,.25,1,40,2,7,16,1.0599999,.94999999,1.01,4,3,2,1,122192,3,15,20,4,5.0500002,52,.15000001,0,2,,,1.05,.94,1,4,3,26.5,29,2.5
26,1,0,1,0,0,1,0,0,0,3,30,15,4,5.5599999,6,,1,,2,7,16,1.0599999,.91000003,.98000002,4,2,1,1,111792,2,10,20,4,5.0500002,,,0,2,7,16,1.01,.94,.94,5,4,41.5,24,-17.5
27,2,1,1,0,1,0,0,0,0,2,4,10,4,5,,.37,0,0,1,11,10,1.0599999,.85000002,2.3399999,4,3,1,1,111292,,0,7,4,5.0500002,26,.25,0,1,11,10,1.05,.83999997,2.53,4,3,13,7.5,-5.5
28,2,0,1,0,0,1,0,0,0,6,0,14,1,4.5,,.25,0,10,2,11,10,1.0599999,1.17,2.5599999,2,1,1,1,111892,3,6,2,3,,,,0,1,11,10,,1.05,2.6400001,3,2,8,10,2
29,2,0,1,0,0,1,0,0,0,3,0,7,2,4.5,4,.25,0,,2,11,11,1.0599999,1.01,2.5599999,3,2,1,1,111292,,0,13,3,5.0500002,26,.25,0,1,11,11,1.05,1.05,2.6400001,3,3,5.5,9.5,4
30,2,0,1,0,0,1,0,0,0,4,6,4,2,5,13,.37,0,0,1,11,10,1.0599999,1.0599999,2.53,2,2,1,1,111292,,4,3,2,5.0500002,19,.25,1,1,11,10,.94,.92000002,2.6900001,2,2,10,7.5,-2.5
31,2,0,1,0,1,0,0,0,0,2,4,16,3,5.25,13,.15000001,0,0,2,11,11,1.03,1.0599999,2.5599999,4,3,1,1,111492,3,6,15,5,5.0500002,26,.25,0,1,10.5,12.5,1,1.05,2.6400001,4,4,15,18.5,3.5
32,3,0,1,0,0,1,0,0,0,0,10,20.5,3,4.5,26,.25,0,40,2,10.5,11.5,1.12,1.02,1.0599999,4,3,1,1,111792,1,2,25,3,5.0500002,26,.23,0,2,10.5,11.5,1.22,1.11,2.28,4,4,23.25,17.5,-5.75
33,3,0,1,0,0,1,0,0,0,0,12,20,4,5,26,.25,0,7,2,6,17,1.02,1.0700001,.94999999,5,4,1,1,111392,,6,11,5,5.0500002,,.2,0,2,6,17,1.11,1.0599999,1.05,4,2,26,16.5,-9.5
34,3,1,1,0,0,1,0,0,0,0,5,15,3,4.9499998,26,,0,75,2,10.5,11.5,1.12,1.02,1.0599999,5,3,1,1,111392,,11,7,3,5.0500002,26,.5,0,2,10.5,11.5,1.22,1.11,.73000002,5,2,15.5,17.5,2
35,4,0,1,0,0,1,0,0,0,2,25,6.5,4,4.5,9,.25,1,,2,10.5,11.5,.95999998,.94999999,2.1300001,2,2,1,1,111992,6,13,18,3,5.0500002,13,.25,0,2,10.5,11.5,1.03,,,2,2,32.25,25,-7.25
36,4,0,1,0,1,0,0,0,0,0,8,12,4,5.5,30,.17,1,0,2,10.5,13,1.02,.91000003,2.5699999,2,2,1,1,111492,,10,35,6,5.0500002,26,.15000001,1,2,10.5,12.5,.94999999,.88999999,1.1900001,2,2,18,33.5,15.5
37,1,0,0,0,0,0,1,0,0,2,21,9,7,4.25,4,.25,0,33,2,6.5,16.5,.98000002,.83999997,.83999997,5,3,1,1,111092,,6,25,7,4.25,52,.18000001,0,2,6.5,16.5,.98000002,.83999997,.86000001,6,3,32.5,25.5,-7
38,1,0,1,0,1,0,0,0,0,0,15,20,5,4.25,17,.15000001,0,100,2,6,17,1.05,.94999999,.98000002,3,2,1,1,111092,,10,20,6,5.0500002,,.25,0,3,6.5,17.5,.98000002,.81999999,.75999999,3,2,30,26,-4
39,1,0,0,0,0,0,1,0,0,0,1,32,2,4.25,8,,0,100,2,6.5,17.5,1.03,.73000002,.51999998,4,2,1,1,111792,,5,15,3,,,,0,2,6.5,16.5,1.05,,.63,4,2,19,15.5,-3.5
40,1,0,0,0,0,0,1,0,0,0,10,20,7,4.25,4,.15000001,0,100,2,6.5,16.5,.98000002,.81999999,.80000001,3,3,1,1,111092,,7,25,6,4.25,8,.13,0,2,6.5,17.5,.98000002,.81999999,.87,3,2,27,25.5,-1.5
41,1,0,0,0,0,0,1,0,0,0,0,27,6,4.25,18,.2,0,100,2,6.5,16.5,.98000002,.81999999,.85000002,3,3,1,1,111892,2,0,42,6,4.25,,,0,2,6.5,17.5,.94,.77999997,.91000003,3,2,19.5,27,7.5
42,1,0,0,0,0,0,1,0,0,2,17,4,5,4.5,,,0,100,2,6.5,16.5,.98000002,.82999998,.86000001,3,3,1,1,111792,1,0,22,5,4.25,26,.25,0,2,6.5,16.5,.94,,,3,2,24,16,-8
45,1,0,0,0,0,0,1,0,0,0,0,24,6,4.25,2,.25,0,25,2,7,16,.98000002,.82999998,.86000001,3,3,1,1,111092,,11,12,2,4.25,26,.15000001,0,3,6.5,17.5,.98000002,.75,.86000001,3,3,18,19,1
46,1,0,0,0,0,0,1,0,0,0,30,15,3,,19,,1,,2,6.5,16.5,1.03,1.03,.51999998,3,3,1,1,111792,1,3.5,35,3,4.3000002,26,.079999998,1,2,6.5,16.5,1.03,,.94,4,4,40.5,24,-16.5
47,1,0,0,0,0,0,1,0,0,2,25,15,,4.5,4,.17,0,75,2,6,17,1.05,.86000001,.86000001,3,3,1,1,111092,,0,45,2,4.25,,,0,2,6,18,1.05,.86000001,.86000001,3,,,24.5,
48,1,0,0,0,0,0,1,0,0,0,6,20,3,4.25,13,.2,1,31,3,7,14,1.01,.83999997,.63,4,3,1,1,111092,,7.5,25,5,4.3800001,13,.25,1,3,7,14,.98000002,.79000002,.87,4,3,19,25,6
49,2,0,0,0,0,0,1,0,0,0,6.5,6.5,4,,26,,0,,2,10,13,1.01,.89999998,2.3499999,4,3,1,1,111292,,0,15,4,4.4499998,13,.050000001,0,2,10,13,1.01,.88999999,2.3499999,4,4,13.75,11.5,-2.25
50,2,0,0,0,0,0,1,0,0,0,6,10,3,4.5,13,,0,20,2,10,12,1.01,.88999999,3.5,4,3,1,1,111292,,4,20,3,4.75,13,.1,0,2,10,13,1.01,.88999999,2.3499999,4,3,14,17,3
51,2,0,0,0,0,0,1,0,0,1,0,15,3,4.25,,.15000001,0,100,2,10,13,1.01,.88999999,2.3499999,4,3,1,1,111792,2,6,15,3,4.25,,,0,2,10,13,1,.88999999,2.3499999,5,3,10.5,16.5,6
56,4,1,0,0,0,0,1,0,0,0,20,20,4,5,26,.1,1,0,2,10,12,.87,.81999999,1.79,2,2,1,1,111492,,0,36,2,5.25,26,.15000001,0,2,10,12,.92000002,.79000002,.87,2,2,34,20,-14
57,4,1,0,0,0,0,1,0,0,0,30,10,3,4.6700001,26,.07,1,70,2,10,12,.87,.79000002,.89999998,2,2,1,1,111492,1,7,18,4,4.5,26,.13,1,2,10,12,1.01,.77999997,.89999998,2,2,38,20,-18
58,4,1,0,0,0,0,1,0,0,2,8,25,3,4.75,26,.15000001,0,80,2,10,12,.87,.76999998,1.01,2,2,1,1,111492,2,0,28,4,4.5,26,.079999998,1,2,10,12,1.04,.83999997,.94,2,2,23.5,18,-5.5
59,4,0,0,0,0,0,1,0,0,3,0,15,3,4.25,26,.1,0,90,1,7.5,10.5,.91000003,.88999999,.81,2,2,1,1,111492,1,0,16,4,4.25,26,.1,0,1,7.5,10.5,1.01,.83999997,.86000001,2,2,10.5,12,1.5
60,4,0,0,0,0,0,1,0,0,0,10,20,5,4.25,4,.1,0,75,1,10.5,11.5,.94,.74000001,.86000001,2,2,1,1,111792,2,10,20,5,4.25,4,.25,0,1,10,12,.98000002,.83999997,.86000001,2,2,25,25,0
61,4,1,0,0,0,0,1,0,0,0,6,26,5,5.5,52,.15000001,1,0,3,10,12,.87,.76999998,1.65,2,2,1,1,111492,,28,3,6,4.75,13,.15000001,0,2,10,12,1.01,.83999997,.94999999,2,2,24,35.5,11.5
62,4,1,0,0,0,0,1,0,0,2,0,31,5,5,26,.07,0,45,2,10,12,.87,.76999998,.94999999,2,2,1,1,111492,,,,,,26,,0,2,10,12,,.83999997,1.79,3,3,20.5,,
63,1,1,1,0,0,1,0,0,0,1,26,6,,4.25,26,,0,75,2,6,18,1.1,.97000003,1.17,4,3,1,1,111792,1,15,10,4,5.0500002,26,.1,0,2,7,18,1.11,1.01,1.09,4,3,,24,
64,1,0,1,0,0,1,0,0,0,1,20,15,3,4.5,26,.2,0,60,3,7,16,1.0599999,.94999999,.94999999,3,2,1,1,111092,,13,13,3,5.0500002,26,.25,0,2,7,16,1.05,.94999999,.94999999,3,3,30.5,22.5,-8
65,1,0,1,0,0,1,0,0,0,5,0,20,4,4.8000002,52,.25,0,90,2,6.5,15.5,1.0599999,.85000002,1.11,3,3,2,2,121592,3,,,3,5.0500002,,,,,,,,,,,,14,,
66,1,0,1,0,0,1,0,0,0,0,15,18,3,4.25,26,.15000001,0,20,2,7,17,1.0599999,.94999999,.94999999,3,2,1,1,111092,,26,10,4,5.0500002,26,.25,1,1,7,17,1.05,.94999999,.94999999,3,3,27,35,8
67,1,0,1,0,0,1,0,0,0,0,5,15,6,4.5,13,.25,0,55,1,8,13.5,1.17,1.0599999,1.17,3,2,1,1,111092,,4,17.5,5,5.0500002,,,0,1,8,13.5,1.3200001,1.05,1.22,3,3,18.5,17.75,-.75
68,1,0,1,0,0,1,0,0,0,1,30,10,3,4.25,14,.050000001,0,,3,7,17,1.0700001,1.02,1.02,3,3,1,1,111092,,13,17,3,5.0500002,13,.28,0,3,7,17,1.05,.94999999,.94999999,3,1,38,24.5,-13.5
69,1,0,1,0,0,1,0,0,0,0,0,27,3,4.25,13,.22,0,100,2,7,18,1.17,.94999999,.94999999,4,2,1,1,111792,,0,27,3,5.0500002,13,.2,0,2,7,18,1.26,1.01,1,4,2,16.5,16.5,0
70,1,0,1,0,0,1,0,0,0,0,35,20,5,4.5,13,.27000001,0,50,1,7,16,1.0599999,.94999999,1.02,3,3,1,1,111092,,10,30,5,5.0500002,4,.23,,1,7,16,1.05,.94999999,1.01,3,3,50,30,-20
71,1,0,1,0,0,1,0,0,0,1,0,35,3,4.75,13,.25,0,100,3,7,17,1.0599999,.94999999,.94999999,3,2,1,1,111692,,29,14,3,5.0500002,26,.18000001,1,3,7,17,1.05,.94999999,.94999999,3,2,20.5,39,18.5
73,2,0,1,0,0,1,0,0,0,1,0,7,3,4.25,,.75,0,40,3,11,12,1.0599999,1.0599999,2.45,3,2,1,1,111792,2,14,0,3,5.0500002,4,.050000001,0,2,11,11,1.05,1.05,2.4300001,3,,6.5,17,10.5
75,2,0,1,0,0,1,0,0,0,0,3,15,3,4.25,4,.25,0,0,2,11,11,1.17,1.27,2.77,3,3,1,1,111292,,4,11,3,5.0500002,6,.25,1,2,11,11,1.16,1.16,2.75,3,3,13.5,12.5,-1
76,3,1,1,0,0,1,0,0,0,0,8,32,4,4.25,26,.2,0,50,2,6,17,1.12,1.02,1.02,6,3,1,1,111392,,25,15,6,5.0500002,13,.15000001,1,2,6.5,16.5,1.11,1.0599999,1.05,6,3,28,38.5,10.5
77,3,0,1,0,0,1,0,0,0,0,6,50,4,5,4,.15000001,0,100,2,6,19,1.1799999,1.0700001,1.17,6,5,1,1,111992,4,4,60,3,5.0500002,52,.15000001,0,2,6,19,1.0599999,1.0599999,1.05,6,2,35,37,2
78,3,1,1,0,0,1,0,0,0,0,13,10,3,5,26,.15000001,0,0,2,6,17,1.12,1.02,1.02,4,2,1,1,111392,,10,12,2,5.0500002,26,.1,0,2,7,16,1.11,1.01,1.05,5,3,21,18,-3
79,3,1,1,0,0,1,0,0,0,4,6,25,3,4.5,26,.15000001,0,30,2,6,17,1.17,1.02,1.0599999,5,4,1,1,111392,,8,18,3,5.0500002,41,.13,0,2,7,16,1.11,1.0599999,1.05,5,4,21.5,20,-1.5
80,4,0,1,0,0,1,0,0,0,1,4.5,20,,4.25,26,.25,0,90,2,10.5,11.5,1.0599999,.98000002,1.0599999,2,2,1,1,111492,2,11,14,3,5.0500002,13,.1,0,2,10.5,12.5,1.12,.98000002,.99000001,2,1,,21,
81,4,0,1,0,0,1,0,0,0,4,25,13,3,5,26,.1,0,95,2,10,12,1.0599999,.98000002,1.0599999,2,2,2,1,121592,3,0,45,4,5.0500002,,,1,2,10.5,11.5,1.11,.98000002,2.0699999,2,1,34.5,26.5,-8
82,4,0,1,0,0,1,0,0,0,6,8,14.5,3,5,13,.37,1,0,2,10.5,13.5,1.0599999,1.03,1.0599999,2,2,1,1,111492,,25,8,4,5.0500002,13,.18000001,1,2,10.5,13.5,1.11,.98000002,1.05,2,2,18.25,33,14.75
83,4,0,1,0,0,1,0,0,0,2,12.5,20,2,5,13,.25,0,11,2,10.5,13.5,1.0599999,.98000002,2.1300001,2,2,1,1,111792,2,,,4,5.0500002,26,.5,0,2,10,14,1.11,.88999999,.99000001,2,2,24.5,,
84,1,0,1,0,1,0,0,0,0,3,4,30,5,4.5,26,.15000001,0,50,2,7,16,1.04,.85000002,.91000003,4,2,1,1,111692,,12,30,5,5.0500002,52,.2,0,2,7,16,1.05,.89999998,.94,3,3,24,32,8
85,1,0,1,0,1,0,0,0,1,3,7,20,3,5.5,26,.51999998,0,1,1,9,12.5,1.12,1.02,1.02,5,4,1,1,111692,,0,35,3,5.0500002,26,.18000001,0,1,9,12.5,1.11,1.01,1.05,5,1,20,20.5,.5
86,1,0,1,0,1,0,0,0,0,1,11,11,4,4.25,13,.25,0,,3,7,15,1.0599999,.94,1.1,3,3,1,1,111092,,9,12,4,5.0500002,4,.13,0,3,7,15,1.05,1.05,1.04,3,3,20.5,19,-1.5
87,1,0,1,0,1,0,0,0,1,0,0,15,,4.5,26,,0,,2,7,15,1.0599999,.86000001,1.02,3,3,1,1,111092,,0,30,5,5.0500002,41,.18000001,0,3,7,15,1,.99000001,1.04,3,3,,20,
88,1,0,1,1,0,0,0,0,0,0,3,35,3,4.25,,,1,75,3,7,15,1.0599999,.87,.91000003,5,5,2,1,121892,2,4,37,4,5.0500002,42,.18000001,0,2,7,15,1.05,.87,.94,5,2,23.5,26.5,3
89,1,1,1,0,1,0,0,0,0,2,10,6,3,5,13,.17,0,0,2,7,16,1.09,.94999999,1.04,3,2,1,1,111092,,6,25,6,5.5,4,.63,0,2,7,16,1.11,1.01,1.05,3,3,16,24.5,8.5
91,1,1,1,0,1,0,0,0,1,2,8,22,4,4.25,8,.15000001,0,100,2,7,17,1.09,.93000001,1.04,3,3,1,1,111792,1,0,30,4,5.0500002,26,.18000001,0,1,7,17,1.11,1.05,1.05,3,3,23,19,-4
92,1,1,1,0,1,0,0,0,1,0,4,18,4,4.25,13,.75,0,100,2,7,15,1.09,.94999999,1.03,3,3,1,1,111092,,14,6,3,5.0500002,,.25,0,2,7,15,1.11,1.01,1.05,3,3,17,20,3
93,1,1,1,0,0,1,0,0,0,0,2.5,30,3,4.25,52,.15000001,0,90,2,7,16,,,.95999998,,,1,1,111092,,5,25,5,5.0500002,13,.15000001,0,2,7,16,1.11,1.05,1.05,4,3,20.5,22.5,2
94,2,0,1,0,1,0,0,0,0,2,0,25,5,5,26,.25,0,0,3,11,10,1.0599999,.80000001,2.5599999,,,1,1,111292,,2,20,4,5.0500002,52,.25,0,1,11,10,1.05,.79000002,2.53,3,,17.5,16,-1.5
95,2,0,1,0,1,0,0,0,0,1,18,3,4,4.25,26,.27000001,0,40,1,11,10,1.0599999,.80000001,2.5599999,4,3,1,1,111292,,0,14,3,5.0500002,13,.25,0,1,11,10,1.05,.75,2.53,3,3,23.5,10,-13.5
96,2,0,1,0,0,1,0,0,0,2,0,15,2,4.25,26,.12,0,80,2,11.5,10,1.0599999,1.01,2.6600001,3,2,1,1,111892,3,0,15,5,5.0500002,26,.15000001,0,2,11.5,10.5,1.05,.94,2.5899999,4,0,9.5,12.5,3
97,2,0,1,0,1,0,0,0,0,2,0,12,4,4.25,13,.25,1,58,2,11,10,1.02,.75,2.5599999,3,2,1,1,111292,,2.5,11,3,5.0500002,13,.30000001,0,2,11,10,1.05,.80000001,2.54,3,2,10,11,1
98,2,0,1,0,1,0,0,0,1,0,0,20,4,4.25,13,.40000001,0,80,3,11,10,1.0599999,.80000001,2.5599999,3,3,1,1,111292,,3,13,3,5.0500002,13,.44999999,0,1,11,10,1.05,.89999998,2.53,3,3,14,12.5,-1.5
99,3,1,1,0,1,0,0,0,1,0,60,40,5,4.75,26,.15000001,0,50,2,0,24,1.23,,2.3,8,6,2,1,121892,6,30,50,4,5.0500002,15,.25,1,2,0,24,1.22,1.17,2.3199999,5,2,85,59,-26
101,3,0,1,0,1,0,0,0,1,3,4.5,15,3,4.75,26,.15000001,0,80,2,7,15,1.2,1.1799999,1.0599999,6,4,1,1,111392,,10,12,3,5.0500002,26,.15000001,0,2,7,15,1.15,1.1,1.05,8,3,15,19,4
102,3,0,1,1,0,0,0,0,0,2,12,13,3,4.4000001,52,.2,0,15,2,7,16,1.0599999,.91000003,1.0700001,6,4,1,1,111392,,0,27,2,5.0500002,52,.25,0,2,7,15,1.0700001,1.01,1.05,5,5,21.5,15.5,-6
103,4,0,1,0,0,1,0,0,0,2,12.5,10,3,5,26,.27000001,0,50,2,10.5,11.5,.91000003,.85000002,.94999999,2,2,1,1,111492,2,,,2,5.0500002,13,,0,2,10.5,12.5,1.05,.83999997,1.26,2,2,20.5,,
104,4,0,1,0,1,0,0,0,1,0,40,20,3,4.6199999,4,.31999999,1,50,2,10.5,11.5,.94999999,.83999997,.94,2,2,1,1,111492,1,11,10,3,5.0500002,26,.079999998,1,2,10.5,12.5,1,.83999997,.94,2,2,53,19,-34
105,1,0,1,0,0,1,0,0,0,2,0,40,4,4.25,10,,0,50,2,6.5,16.5,.95999998,1,1.03,4,2,1,1,111092,,0,45,4,5.0500002,13,.25,0,2,6.5,16.5,1.05,.99000001,1.16,4,3,24,26.5,2.5
106,1,0,1,0,0,1,0,0,0,0,0,35,3,4.25,26,.27000001,0,65,3,7,16,1.0599999,.94999999,.94999999,2,1,1,1,111092,,2,25,3,5.0500002,26,.2,0,0,7,16,1.05,.94999999,.94999999,2,2,20.5,17.5,-3
107,1,1,1,0,0,1,0,0,0,0,6,11,3,4.25,8,.31999999,0,40,1,8,14.5,1.17,.94999999,.94999999,3,3,2,1,123092,9,13.5,10,2,5.0500002,,,0,1,8,14,,1.01,1,4,2,14.5,20.5,6
108,1,0,1,0,0,1,0,0,0,2,13.5,15,4,4.25,26,.37,1,6,1,7,17,1.27,1.01,1.0599999,3,3,1,1,111692,,11,24,5,5.0500002,26,.15000001,0,1,7,17,1.37,1.02,1.05,3,3,25,28,3
111,3,0,1,0,0,1,0,0,0,0,17,14,3,4.25,2,.41999999,0,55,3,7,16,1.17,1.0599999,1.01,5,5,1,1,111892,1,20,14.5,3,5.0500002,26,,0,2,7,16,1.16,1.16,1,5,4,27,30.25,3.25
112,4,0,1,0,0,1,0,0,0,0,4,26,3,5,13,.2,0,80,2,10,14,1.0599999,.98000002,1.0599999,2,2,2,1,121392,9,5,25,6,5.0500002,28,.18000001,0,2,10.5,12.5,1.11,1.09,2.0699999,,,20,23.5,3.5
113,1,0,1,0,1,0,0,0,0,0,0,22,4,,,,1,,2,7,16,1.0599999,.94999999,1,4,,1,1,111092,,2,40,5,5.0500002,26,.28,1,2,7,16,1.05,.89999998,.98000002,3,2,15,27,12
114,1,0,1,0,1,0,0,0,0,2,0,35,5,4.75,26,.56999999,1,50,2,7,16,1.0700001,.94999999,.94999999,3,,1,1,111792,1,20,40,4,5.25,26,.25,0,2,6.5,16.5,1.11,.94,.94,3,3,22.5,44,21.5
115,1,0,1,0,1,0,0,0,0,0,20,25,4,4.75,4,.30000001,0,25,1,7,17,1.0599999,.94999999,1.0599999,4,3,1,1,111092,,6,15,4,5.0500002,,,,1,7,17,1.05,.94999999,1.01,4,4,36.5,17.5,-19
116,1,0,1,0,1,0,0,0,0,0,4,22.5,2,4.25,18,.37,0,90,2,8.5,13,1.49,1.02,1.11,7,3,1,1,111092,,22,12,3,5.0500002,13,.44999999,1,2,8.5,13,1.39,.94999999,1.21,8,2,17.25,31,13.75
118,1,0,1,0,0,1,0,0,0,3,10,15,4,4.25,26,.15000001,0,70,2,7,15,1.0599999,.94999999,1.01,4,2,1,1,111692,,18,20,3,5.0500002,26,.38,0,2,7,15,1.05,.94,1,4,2,21.5,31,9.5
119,1,0,1,0,0,1,0,0,0,2,12,19,3,4.75,13,.27000001,1,50,3,6.5,16.5,1.0599999,.91000003,.94999999,3,3,1,1,111692,1,18,13,4,5.0500002,26,,0,3,6.5,17.5,1.05,.88999999,.94999999,3,3,24.5,28.5,4
120,1,1,1,0,1,0,0,0,0,3,0,32,3,4.5,,,0,,2,7,16,1.13,.98000002,1.04,3,2,1,1,111992,3,0,30,4,5.0500002,,,0,2,7,16,1.05,1.05,1.05,3,2,19,19,0
122,1,0,1,0,0,1,0,0,0,0,1,38,5,4.25,4,.2,0,70,1,9,12.5,,1.12,1.12,5,3,1,1,111092,,10,50,6,5.0500002,26,.1,0,1,9,12.5,1.15,.94,1.15,6,4,25,41,16
123,1,0,1,0,1,0,0,0,0,0,0,20,5,,13,,0,28,2,7,14.5,1.0599999,.94999999,1.01,2,1,1,1,111092,,5,25,4,5.0500002,26,.15000001,0,3,7.5,14,1.05,.94,1,3,2,15,21.5,6.5
124,1,0,1,0,1,0,0,0,0,1,8,10,3,4.25,13,.25,0,14,2,8,15,1.0599999,.91000003,1.04,2,2,1,1,111092,,21,6,4,5.0500002,13,.5,1,3,7,15,1.16,.94,1.12,2,2,16,28,12
125,2,0,1,0,1,0,0,0,0,0,15,0,4,4.5,26,.25,0,100,1,10,12.5,.91000003,.85000002,2.3399999,3,2,1,1,111492,,0,15,2,5.0500002,52,.40000001,0,1,10,12,1.01,1.01,2.49,4,3,19,9.5,-9.5
