newid,cohort,star,cltype,schidkn,pscore,classid,cs,female,white,sage,drop,free_lunch
170343,1,1,1,53,15.937449,15600,15,1,0,4.75,0,1
74235,1,1,1,37,15.962032,10834,16,0,0,5,1,1
19833,1,1,1,70,16.6614,20769,16,0,1,5,1,0
28769,1,1,1,20,16.6614,5900,21,0,0,5.5,0,1
151515,1,1,1,39,16.73732,11437,12,0,1,5,0,0
9609,1,1,1,53,16.880377,15600,15,0,0,5,0,1
183515,1,1,1,8,16.935505,2205,16,1,1,5,0,1
134872,1,1,1,15,16.935505,4210,13,1,0,5.75,0,1
143678,1,1,1,25,16.993004,7200,17,1,0,5.25,0,1
134123,1,1,1,45,16.993004,13200,15,0,0,5,0,1
166958,1,1,1,37,16.993004,10834,16,1,1,5.25,1,1
15500,1,1,1,47,16.993004,13900,24,0,1,5.25,0,0
66361,1,1,1,74,17.189604,21976,16,1,0,5,1,1
9681,1,1,1,57,17.219549,16852,13,0,1,5.5,0,0
59329,1,1,1,56,17.26989,16550,15,1,1,6.5,0,1
6556,1,1,1,78,17.395311,22800,14,0,1,5.25,0,1
179007,1,1,1,45,17.395311,13200,15,1,0,5.5,0,1
154763,1,1,1,12,17.510006,3400,14,0,1,5,0,1
49196,1,1,1,64,17.510006,18964,33,0,1,5.25,0,1
106237,1,1,1,79,18.009672,23181,14,1,1,5.25,1,1
186379,1,1,1,79,18.401484,23180,15,0,1,5,0,1
157086,1,1,1,17,18.784859,4814,16,0,0,5.25,1,1
134246,1,1,1,32,18.784859,9329,16,0,0,5.75,0,0
8118,1,1,1,56,18.954023,16550,15,1,0,5.75,0,0
63614,1,1,1,47,19.342257,13800,14,1,1,5.25,0,0
2193,1,1,1,5,19.405693,1300,16,1,0,5.5,0,1
62297,1,1,1,67,19.405693,19800,13,0,1,5,0,0
39281,1,1,1,19,19.405693,5415,17,1,0,5.5,0,1
108730,1,1,1,73,19.405693,21675,13,1,1,5,1,0
156864,1,1,1,53,19.475559,15800,22,0,1,5.5,0,1
41963,1,1,1,70,19.475559,20961,24,1,1,5,0,1
92225,1,1,1,33,19.584665,9630,16,0,0,5.5,0,1
40093,1,1,1,66,19.590254,19565,14,1,1,5.25,0,0
185050,1,1,1,10,19.590254,3000,22,1,1,5,1,1
32718,1,1,1,4,19.840412,1000,13,0,1,5.25,1,0
102448,1,1,1,76,19.840412,22578,17,0,1,5.5,0,0
10631,1,1,1,52,20.09177,15300,13,0,1,5.75,0,0
85031,1,1,1,47,20.281277,13800,14,1,1,5.75,0,0
74247,1,1,1,71,20.281277,21071,17,1,1,5.75,0,1
5599,1,1,1,8,20.281277,2206,17,0,1,5.5,0,0
74353,1,1,1,15,20.348431,4211,12,1,0,5.5,0,1
147084,1,1,1,25,20.348431,7300,22,0,1,5.25,1,0
46315,1,1,1,47,20.348431,13800,14,0,1,5,0,1
5281,1,1,1,19,20.348431,5416,16,1,0,5.5,1,1
62668,1,1,1,66,20.348431,19566,14,0,1,5.25,1,0
70890,1,1,1,22,20.483778,6422,20,0,0,5,0,1
43101,1,1,1,67,20.52494,19800,13,1,1,6.25,1,1
112159,1,1,1,56,20.52494,16550,15,0,1,5.5,0,0
33081,1,1,1,73,20.726641,21675,13,1,1,5,0,1
66841,1,1,1,16,20.726641,4600,26,0,0,5,0,1
125868,1,1,1,60,20.92066,17758,16,1,0,5.25,0,1
127899,1,1,1,7,20.92066,1904,14,1,0,5,0,1
26522,1,1,1,45,20.923252,13200,15,0,0,5,0,1
107728,1,1,1,79,21.258438,23181,14,0,1,5.5,1,1
69144,1,1,1,33,21.349085,9630,16,0,0,4.75,0,1
87198,1,1,1,37,21.386549,10834,16,0,1,6.25,1,1
172554,1,1,1,55,21.422504,16345,22,1,0,5,0,0
175531,1,1,1,62,21.580496,18300,17,0,1,6,0,1
99484,1,1,1,33,21.580496,9600,15,0,0,5.25,0,1
38058,1,1,1,72,21.731894,21373,14,0,1,5,0,1
72698,1,1,1,48,21.731894,14300,21,1,1,5,0,0
28977,1,1,1,55,21.775034,16345,22,1,1,5.5,1,1
133217,1,1,1,34,21.868616,9900,15,1,1,5.5,0,0
50907,1,1,1,47,21.885012,13800,14,1,1,5,0,0
26927,1,1,1,35,22.329456,10200,17,0,0,5.5,0,0
77517,1,1,1,71,22.392723,21071,17,0,1,5.25,0,1
59918,1,1,1,73,22.471886,21675,13,0,1,5.25,0,1
134905,1,1,1,2,22.471886,400,16,1,1,5,1,1
86637,1,1,1,56,22.471886,16551,16,0,0,5.25,0,0
159385,1,1,1,2,22.49106,500,19,0,0,5,0,1
96060,1,1,1,26,22.49106,7700,20,0,0,5.25,0,1
114172,1,1,1,33,22.590879,9630,16,0,0,5.25,0,1
26541,1,1,1,63,22.590879,18853,21,1,1,7.25,0,1
36540,1,1,1,8,22.596092,2206,17,0,1,5.25,0,0
45226,1,1,1,37,22.596092,10834,16,1,1,5,1,0
118441,1,1,1,20,22.939178,5700,17,0,0,5,0,0
169935,1,1,1,8,23.466797,2400,23,1,1,5.5,0,0
140650,1,1,1,64,23.466797,18964,33,0,1,6,0,1
177549,1,1,1,50,23.466797,14900,22,1,0,5.25,0,1
94012,1,1,1,28,23.527443,8100,15,0,0,5.25,0,1
178059,1,1,1,71,23.527443,21071,17,0,1,5,1,0
93820,1,1,1,19,23.527443,5415,17,1,0,5.25,1,1
56860,1,1,1,2,23.528191,500,19,0,0,6.25,0,1
18545,1,1,1,80,23.528191,23400,13,0,1,5.5,0,1
107740,1,1,1,35,23.633036,10400,25,0,1,5.25,0,1
64506,1,1,1,32,24.105846,9328,16,0,0,5,1,1
184822,1,1,1,67,24.105846,19800,13,1,1,5.75,0,0
166327,1,1,1,45,24.105846,13200,15,1,0,5.75,0,1
40568,1,1,1,4,24.105846,1000,13,1,1,4.75,0,0
47598,1,1,1,23,24.516178,6620,15,1,0,5.25,0,1
148812,1,1,1,45,24.534363,13200,15,0,0,5.25,0,1
32221,1,1,1,73,24.83674,21675,13,0,1,5.25,1,0
65681,1,1,1,37,24.961248,10834,16,0,0,5.5,1,1
93100,1,1,1,32,24.961248,9328,16,0,0,5.25,0,1
63446,1,1,1,36,25.33424,10533,14,0,1,5.75,0,0
23870,1,1,1,35,25.571735,10200,17,1,1,5.25,0,0
13151,1,1,1,16,25.571735,4513,17,1,0,5.5,1,1
127772,1,1,1,3,25.571735,702,16,0,1,6.25,0,1
8543,1,1,1,2,25.571735,400,16,0,1,6.5,1,1
21722,1,1,1,76,25.608437,22578,17,0,1,5,1,0
109758,1,1,1,37,25.613861,10834,16,1,1,5.25,1,0
185547,1,1,1,20,25.613861,5700,17,1,0,5,0,1
14583,1,1,1,47,25.651577,14000,26,1,1,5.75,0,0
135658,1,1,1,39,25.845928,11437,12,1,1,5,0,1
114023,1,1,1,25,25.845928,7300,22,1,1,5.75,0,0
154925,1,1,1,32,25.8654,9328,16,0,0,5.25,1,1
74283,1,1,1,73,26.476215,21600,15,1,1,5,0,1
128006,1,1,1,57,26.626207,16852,13,0,1,5.75,0,0
52168,1,1,1,19,26.651981,5415,17,0,0,5.75,0,1
130364,1,1,1,60,26.651981,17759,15,0,1,6.25,0,0
131963,1,1,1,22,26.657749,6525,20,1,0,5,0,1
106399,1,1,1,48,26.65782,14340,23,0,1,5.5,0,0
29423,1,1,1,53,26.65782,15600,15,1,0,5.5,0,1
69259,1,1,1,72,26.65782,21374,14,0,1,5,1,0
101757,1,1,1,57,26.886526,16853,12,1,1,5.25,0,0
107407,1,1,1,57,26.915876,16853,12,0,1,5.5,0,0
59601,1,1,1,22,26.915876,6525,20,0,0,5.5,0,1
69291,1,1,1,32,27.074322,9329,16,0,0,5,1,1
70094,1,1,1,24,27.074322,6921,14,1,0,5.25,0,0
148400,1,1,1,4,27.074322,1000,13,1,1,5.5,0,0
156284,1,1,1,73,27.108345,21800,22,1,1,5.25,1,1
29761,1,1,1,64,27.439766,18964,33,1,1,5.5,0,1
22384,1,1,1,47,27.618191,13900,24,0,1,5.5,1,0
180718,1,1,1,63,27.658154,18662,14,1,1,5.25,1,1
69771,1,1,1,71,27.658154,21072,16,0,1,5,0,0
78538,1,1,1,16,27.658154,4513,17,1,0,5,0,1
47418,1,1,1,6,27.658154,1600,13,1,1,5,1,1
60062,1,1,1,4,27.658154,1000,13,1,1,5.25,0,1
54365,1,1,1,4,27.713375,1100,23,0,1,5.25,0,0
136705,1,1,1,28,27.713375,8127,15,1,0,5.5,0,1
40445,1,1,1,19,27.713375,5416,16,1,0,5.25,0,1
136007,1,1,1,8,27.713375,2205,16,0,1,5.75,1,1
86251,1,1,1,78,27.792875,22800,14,1,1,5,0,1
159193,1,1,1,66,27.792875,19565,14,0,1,5,0,0
10697,1,1,1,26,27.847975,7700,20,0,0,5,0,1
115680,1,1,1,16,28.216297,4512,17,0,0,5.5,0,1
124575,1,1,1,4,28.284584,1200,24,0,1,5.5,0,0
18144,1,1,1,39,28.284584,11437,12,1,1,5.5,0,1
9883,1,1,1,80,28.284584,23400,13,1,1,5,0,0
161610,1,1,1,32,28.307713,9536,22,1,0,5,1,1
90561,1,1,1,74,28.448904,21976,16,0,0,5.5,0,1
79961,1,1,1,25,28.6705,7200,17,1,1,5,0,0
89712,1,1,1,37,28.781208,10834,16,0,1,5.5,1,0
40905,1,1,1,5,28.793621,1300,16,0,1,5,0,1
13633,1,1,1,62,28.793621,18300,17,0,1,5.5,0,1
96621,1,1,1,2,28.854149,400,16,1,0,5.25,0,0
79103,1,1,1,22,29.021269,6525,20,0,0,5.5,0,1
175437,1,1,1,63,29.021269,18663,15,0,0,6.25,0,1
133630,1,1,1,7,29.148781,1903,17,0,1,6.25,1,1
90379,1,1,1,19,29.148781,5415,17,1,0,5,0,1
132526,1,1,1,53,29.158131,15700,23,0,0,5.25,0,0
165441,1,1,1,68,29.344545,20168,16,0,0,5.5,1,1
134429,1,1,1,54,29.358273,15900,15,1,0,5.25,0,0
99232,1,1,1,57,29.358273,16852,13,1,1,5.5,0,0
181882,1,1,1,56,29.394239,16550,15,1,1,5,0,0
20365,1,1,1,63,29.799795,18751,22,0,1,5.25,1,0
148506,1,1,1,20,29.800106,5700,17,1,0,5,0,0
93254,1,1,1,34,29.836761,9900,15,1,1,5.75,0,0
120624,1,1,1,71,29.836761,21071,17,0,1,5.5,0,1
52664,1,1,1,57,29.837168,16852,13,0,0,5.75,0,1
24992,1,1,1,2,29.928223,500,19,0,1,5.5,0,1
103417,1,1,1,25,29.928223,7200,17,1,1,5,1,1
105289,1,1,1,64,29.928223,18964,33,1,0,5,0,1
76991,1,1,1,19,29.963871,5500,26,0,0,5.5,0,1
71361,1,1,1,79,30.080879,23300,22,0,1,6.5,0,1
87894,1,1,1,4,30.561977,1100,23,1,1,5.75,0,0
73695,1,1,1,26,30.561977,7500,17,0,0,5.5,0,1
67686,1,1,1,55,30.608749,16346,23,1,1,5.75,0,0
139655,1,1,1,24,30.726681,6922,14,1,0,5.75,1,1
123150,1,1,1,35,30.726681,10300,24,0,0,5.25,0,1
169208,1,1,1,61,30.812141,18060,13,1,1,5.75,1,0
48054,1,1,1,57,30.812141,16853,12,0,1,5.75,0,0
65008,1,1,1,4,30.917009,1100,23,1,1,5.5,0,0
15968,1,1,1,33,30.917009,9600,15,1,0,5.5,0,1
142957,1,1,1,68,30.917009,20168,16,1,0,5.25,1,1
142295,1,1,1,16,30.917009,4715,25,0,0,6.75,0,1
180336,1,1,1,8,30.917009,2206,17,1,1,5.5,1,
17718,1,1,1,23,30.977604,6620,15,0,0,5.75,0,0
4026,1,1,1,71,30.977604,21072,16,1,1,5,1,1
7504,1,1,1,26,30.977604,7500,17,1,0,5.5,0,1
135933,1,1,1,42,31.065561,12400,23,0,1,5.25,1,0
168126,1,1,1,40,31.065561,11739,12,0,1,5.25,1,1
9911,1,1,1,43,31.087051,12600,15,0,1,5.75,0,0
164166,1,1,1,27,31.087051,7823,14,1,0,5.75,0,1
17354,1,1,1,26,31.30522,7700,20,1,0,5,0,1
83246,1,1,1,36,31.30522,10533,14,1,1,5.25,0,1
75977,1,1,1,33,31.560799,9600,15,0,0,5,1,1
19117,1,1,1,43,31.723047,12600,15,1,1,5.25,0,1
95967,1,1,1,23,31.723047,6619,16,1,0,5.5,0,1
68574,1,1,1,51,31.917999,15000,16,1,1,7.25,0,0
126334,1,1,1,78,31.923183,22800,14,1,1,5.25,0,0
8205,1,1,1,55,31.978809,16346,23,1,1,5.25,0,0
81274,1,1,1,76,31.978809,22578,17,1,1,5,0,0
179663,1,1,1,75,32.033161,22366,23,1,1,5.5,0,0
70620,1,1,1,68,32.033161,20168,16,1,0,5.25,0,1
86416,1,1,1,39,32.161125,11436,12,1,1,5.5,0,1
156400,1,1,1,43,32.207535,12600,15,1,1,5.5,0,0
22345,1,1,1,38,32.207535,11100,13,0,1,5,0,1
116780,1,1,1,16,32.207535,4513,17,0,0,5.25,0,1
13003,1,1,1,15,32.405045,4400,15,1,0,5,0,1
75590,1,1,1,3,32.508926,701,15,0,1,5.75,0,0
145401,1,1,1,19,32.508926,5415,17,1,0,5,1,1
153031,1,1,1,38,32.622635,11200,17,0,1,5.75,0,1
104491,1,1,1,47,32.833584,13800,14,0,1,5,0,1
96427,1,1,1,9,32.833584,2508,13,0,1,5,0,1
160093,1,1,1,26,32.935528,7700,20,1,0,5.25,0,1
67707,1,1,1,4,32.935528,1000,13,0,1,5,0,0
111694,1,1,1,37,32.935528,10834,16,0,1,5.25,1,1
10010,1,1,1,17,33.207203,4814,16,0,1,6,1,0
70234,1,1,1,7,33.207203,1904,14,0,0,5,0,0
162394,1,1,1,28,33.21051,8127,15,0,0,5,1,1
75566,1,1,1,5,33.266342,1400,24,1,1,5.25,1,1
61081,1,1,1,35,33.266342,10200,17,0,1,5,0,0
134720,1,1,1,59,33.34951,17500,17,1,1,5.5,0,0
44831,1,1,1,8,33.930965,2206,17,0,1,6.5,0,1
28280,1,1,1,39,33.930965,11437,12,1,1,5.75,1,1
155737,1,1,1,32,33.955078,9328,16,1,0,5,1,1
150176,1,1,1,22,33.955078,6526,22,0,0,5.5,1,1
54545,1,1,1,51,33.955078,15000,16,1,1,5.5,0,1
16278,1,1,1,34,33.955078,9931,15,0,1,5.75,0,1
54124,1,1,1,9,33.981731,2507,13,0,1,5.25,0,1
108583,1,1,1,33,34.102196,9630,16,0,0,5.75,0,1
157850,1,1,1,48,34.102196,14146,12,1,1,5,1,1
104857,1,1,1,49,34.119579,14400,16,0,1,6,0,0
146487,1,1,1,37,34.266064,10834,16,1,1,5.75,1,1
59552,1,1,1,70,34.349178,20770,16,1,1,5.5,0,0
167085,1,1,1,56,34.349178,16551,16,0,0,5.25,0,1
76038,1,1,1,70,34.349178,20800,24,1,1,5.75,0,1
76959,1,1,1,34,34.349178,9900,15,0,1,6.5,0,1
7831,1,1,1,26,34.553215,7500,17,0,0,5.75,0,1
135494,1,1,1,53,34.863064,15800,22,1,1,5.75,0,0
63761,1,1,1,70,34.863064,20770,16,0,1,5.5,0,1
123823,1,1,1,34,35.006424,9900,15,1,1,5.5,0,1
46252,1,1,1,20,35.006424,5700,17,1,0,5.25,0,0
29369,1,1,1,75,35.131927,22400,22,0,1,5,1,0
53358,1,1,1,25,35.131927,7200,17,0,0,5.25,0,0
24235,1,1,1,14,35.330589,4000,13,1,0,5,0,1
75647,1,1,1,69,35.330589,20400,14,0,1,5.5,0,1
176159,1,1,1,62,35.330589,18300,17,1,1,5.5,1,0
30351,1,1,1,4,35.346313,1000,13,0,1,5.5,0,0
17609,1,1,1,48,35.491154,14145,13,1,1,5,1,1
12059,1,1,1,55,35.491154,16200,13,0,1,5,0,0
175773,1,1,1,34,35.534676,9900,15,1,1,5.25,0,0
114812,1,1,1,63,35.534676,18751,22,0,1,5.25,1,1
158343,1,1,1,37,35.969822,10834,16,1,0,5.75,1,1
135738,1,1,1,33,36.079426,9600,15,1,0,5,0,1
37225,1,1,1,38,36.092842,11100,13,1,1,5,0,1
88614,1,1,1,8,36.092842,2400,23,1,1,5.75,1,0
97130,1,1,1,79,36.298592,23200,22,0,1,5,0,0
94793,1,1,1,33,36.346397,9600,15,1,0,5,0,1
151864,1,1,1,60,36.352486,17758,16,0,1,5.75,1,1
82009,1,1,1,24,36.352486,6922,14,1,0,5,0,0
180940,1,1,1,55,36.472565,16200,13,0,1,5.25,0,1
90348,1,1,1,35,36.472565,10200,17,0,1,5.25,1,1
166063,1,1,1,19,36.472565,5415,17,0,0,5.5,0,1
150909,1,1,1,70,36.519424,20769,16,0,1,5.25,0,1
46263,1,1,1,27,36.590229,7823,14,0,0,5.75,0,1
113707,1,1,1,26,36.694859,7500,17,1,0,5,0,1
99051,1,1,1,73,36.824821,21675,13,1,1,5,0,1
113904,1,1,1,39,36.943314,11436,12,0,1,5.5,0,1
80158,1,1,1,52,37.36483,15300,13,1,1,6.25,0,1
26599,1,1,1,39,37.36483,11500,20,0,1,5.75,0,1
11585,1,1,1,8,37.526985,2206,17,1,1,5.5,0,1
123479,1,1,1,8,37.526985,2205,16,1,1,5.75,0,1
112971,1,1,1,34,37.526985,9900,15,0,1,5,0,0
106989,1,1,1,57,37.61454,16852,13,0,1,6.25,0,0
21071,1,1,1,47,37.61454,13800,14,0,1,5.5,1,1
69853,1,1,1,69,37.61454,20400,14,0,1,5.25,0,1
86026,1,1,1,75,37.61454,22366,23,0,1,5,0,0
103872,1,1,1,19,37.670479,5416,16,1,0,5.5,1,1
36742,1,1,1,76,37.670479,22579,17,1,1,5.75,0,0
72503,1,1,1,19,37.670479,5416,16,0,0,5.75,0,1
56903,1,1,1,66,37.836834,19565,14,0,1,5.75,1,0
62523,1,1,1,54,37.836834,16100,22,0,1,5,0,1
60237,1,1,1,65,37.836834,19400,19,0,1,5.25,0,0
119626,1,1,1,3,37.836834,702,16,1,0,5,0,1
35095,1,1,1,53,37.992695,15600,15,1,0,5.75,0,0
12169,1,1,1,16,37.992695,4513,17,1,0,5,0,1
40730,1,1,1,24,38.25951,6922,14,0,0,5,0,1
98033,1,1,1,33,38.411865,9600,15,0,0,5.5,0,0
160621,1,1,1,67,38.531498,19800,13,0,1,5.25,0,1
112017,1,1,1,76,38.531498,22578,17,0,1,5.5,0,
62556,1,1,1,78,38.531498,22900,24,1,1,5.25,0,0
169863,1,1,1,24,38.668961,6922,14,0,0,5.75,0,1
70059,1,1,1,51,38.668961,15049,17,1,0,5,0,0
101502,1,1,1,26,38.668961,7700,20,1,0,5.25,0,1
51390,1,1,1,14,38.668961,4000,13,1,0,5.25,1,1
4042,1,1,1,23,38.668961,6620,15,1,0,5,0,0
186634,1,1,1,62,38.668961,18300,17,0,1,5,0,1
99992,1,1,1,35,38.676651,10400,25,1,1,5.75,0,1
33181,1,1,1,26,38.818245,7600,17,0,0,5.25,0,1
130123,1,1,1,24,38.818245,7100,18,0,0,5,0,0
17441,1,1,1,56,38.926834,16700,23,0,1,5.5,0,0
92287,1,1,1,33,38.966461,9600,15,1,0,5.5,1,1
118368,1,1,1,76,38.966461,22579,17,0,1,5.5,0,0
154234,1,1,1,57,38.966461,16852,13,1,1,6,0,0
115046,1,1,1,46,38.966461,13600,24,1,1,6.75,1,1
53004,1,1,1,60,39.157074,17759,15,0,0,5.25,0,0
73885,1,1,1,4,39.258327,1100,23,1,1,5.25,0,0
137943,1,1,1,70,39.407658,20962,23,0,1,5.75,0,0
68286,1,1,1,28,39.407658,8335,23,1,0,5.25,0,1
49977,1,1,1,12,39.407658,3400,14,1,1,5,0,1
98255,1,1,1,22,39.547905,6318,16,0,0,5.5,1,1
57769,1,1,1,79,39.759392,23180,15,0,1,5,0,0
161087,1,1,1,79,39.759892,23200,22,0,1,5.5,0,0
14447,1,1,1,57,39.759892,16852,13,1,1,5.5,0,0
184762,1,1,1,65,39.926834,19200,12,1,1,5,0,0
129430,1,1,1,61,39.96022,18061,17,1,1,5.75,0,0
131665,1,1,1,46,39.96022,13600,24,1,1,5.5,0,0
109049,1,1,1,4,39.96022,1000,13,1,1,5,0,0
171900,1,1,1,65,40.08408,19200,12,1,1,5.25,0,1
98870,1,1,1,55,40.08408,16200,13,0,1,5.75,1,1
123790,1,1,1,48,40.114609,14145,13,0,1,5.25,0,1
62447,1,1,1,55,40.114609,16346,23,1,1,5.5,0,1
175930,1,1,1,19,40.408123,5416,16,1,0,5,0,1
119518,1,1,1,39,40.408123,11437,12,0,1,5.25,0,0
44998,1,1,1,4,40.554077,1200,24,0,1,5.75,0,0
161274,1,1,1,8,40.855663,2206,17,0,1,6,0,0
113306,1,1,1,57,40.855663,16853,12,0,1,5,0,1
115231,1,1,1,62,40.855663,18300,17,0,1,5.5,0,1
158263,1,1,1,62,40.901867,18300,17,0,1,5.75,0,0
61963,1,1,1,20,41.014641,5800,21,1,0,5,0,0
160798,1,1,1,78,41.014641,22800,14,1,1,5.25,0,1
